,Hierarchy (PDI),Complexity,Color
Russia,93,2.51,3.62
Finland,33,3.31,3.56
Sweden,31,3.39,4.5
Hong Kong,68,3.54,5.68
Denmark,18,3.69,4.24
Switzerland,34,3.7,4.25
Italy,50,3.74,5.63
Poland,68,3.75,3.83
Germany,35,3.75,4.45
France,68,3.78,4.41
Belgium,65,3.85,5.28
Norway,31,3.86,4.77
Netherlands,38,3.88,5.35
Israel,13,3.9,5.08
Austria,11,3.93,4.55
Slovakia,100,3.94,5.11
Portugal,63,3.99,4.95
Brazil,69,4,5.15
Japan,54,4.08,5.36
India,77,4.08,5.73
Australia,38,4.09,5.53
Greece,60,4.09,6.21
China,80,4.09,6.27
United States,40,4.15,6.09
Canada,39,4.2,5.89
New Zealand,22,4.22,5.73
Bulgaria,70,4.26,4.63
Philippines,94,4.28,5.9
Lithuania,42,4.28,6.15
Ireland,28,4.29,6.37
Spain,57,4.36,5.76
Argentina,49,4.37,5.62
Malaysia,100,4.39,6.97
Macedonia,90,4.46,7.62
Romania,90,4.5,6.3
United Kingdom,35,4.52,6.52
Singapore,74,4.53,6.39
Hungary,46,4.54,5.93
South Africa,49,4.54,5.94
Mexico,81,4.56,6.36
Chile,63,4.56,6.95
Serbia,86,4.77,6.6
